"REGIAO_SAUDE","POPULACAO_TOTAL","TOTAL_LEITOS_EXISTENTES","TOTAL_LEITOS_SUS","TOTAL_UTI_EXISTENTE","TOTAL_UTI_SUS","INTERNACOES_2025","PROP_INTERNACOES_POR_LEITO_SUS","UTIS_SUS_POR_100K_HAB"
"Araraquara",700515,1642,989,252,135,60522,61.2,19.27
"Araçatuba",1016371,1499,1108,157,108,42087,37.98,10.63
"Baixada Santista",2042800,3723,2049,634,323,90255,44.05,15.81
"Barretos",475276,1065,893,134,106,46740,52.34,22.3
"Bauru",870489,3583,2316,426,270,105456,45.53,31.02
"Campinas",4665853,10577,5390,1608,701,273054,50.66,15.02
"Franca",534631,931,593,91,66,30476,51.39,12.34
"Grande SP",20986214,52920,27005,9067,3406,1205239,44.63,16.23
"Jundiaí",627007,1316,651,256,111,47910,73.59,17.7
"Lins",255626,478,382,36,26,12610,33.01,10.17
"Marília",1077408,2841,2038,348,268,84195,41.31,24.87
"Piracicaba",579144,1094,571,172,91,39911,69.9,15.71
"Presidente Prudente",1024224,2308,1604,198,122,70925,44.22,11.91
"Ribeirão Preto",1731199,4141,2665,499,257,134551,50.49,14.85
"Sorocaba",2282154,4681,2900,629,324,139387,48.06,14.2
"São José do Rio Preto",1520956,5305,2752,651,372,165962,60.31,24.46
"São José dos Campos",1260675,2645,1409,424,211,77652,55.11,16.74
"São João da Boa Vista",481784,1915,1256,69,53,35701,28.42,11
"Vale do Paraíba",1441412,2858,1974,383,272,90731,45.96,18.87
"Vale do Ribeira",421392,401,322,50,30,14309,44.44,7.12
