"MUNICIPIO","PERIODO","QTD_INTERNACOES"
"Tupi Paulista",2024-01-01 00:00:00,82
"Junqueirópolis",2024-01-01 00:00:00,87
"Agudos",2024-01-01 00:00:00,79
"Itaberá",2024-01-01 00:00:00,61
"Pirangi",2024-01-01 00:00:00,61
"Tambaú",2024-01-01 00:00:00,61
"Guararema",2024-01-01 00:00:00,76
"Santa Cruz das Palmeiras",2024-01-01 00:00:00,85
"Águas de Lindóia",2024-01-01 00:00:00,118
"Bastos",2024-01-01 00:00:00,70
"Dois Córregos",2024-01-01 00:00:00,113
"Presidente Bernardes",2024-01-01 00:00:00,99
"São Miguel Arcanjo",2024-01-01 00:00:00,119
"Igarapava",2024-01-01 00:00:00,103
"Embu-Guaçu",2024-01-01 00:00:00,143
"Cunha",2024-01-01 00:00:00,102
"Tanabi",2024-01-01 00:00:00,111
"Monte Azul Paulista",2024-01-01 00:00:00,95
"Nova Odessa",2024-01-01 00:00:00,111
"Pirajuí",2024-01-01 00:00:00,91
"Guariba",2024-01-01 00:00:00,111
"Caconde",2024-01-01 00:00:00,103
"Pitangueiras",2024-01-01 00:00:00,116
"Santa Rita do Passa Quatro",2024-01-01 00:00:00,93
"São Manuel",2024-01-01 00:00:00,103
"Angatuba",2024-01-01 00:00:00,85
"Pontal",2024-01-01 00:00:00,127
"Guararapes",2024-01-01 00:00:00,78
"Cerqueira César",2024-01-01 00:00:00,80
"Cosmópolis",2024-01-01 00:00:00,120
"Serra Negra",2024-01-01 00:00:00,123
"Descalvado",2024-01-01 00:00:00,108
"Morro Agudo",2024-01-01 00:00:00,157
"Nova Granada",2024-01-01 00:00:00,113
"Ribeirão Pires",2024-01-01 00:00:00,222
"Santo Anastácio",2024-01-01 00:00:00,121
"Palmital",2024-01-01 00:00:00,146
"Bariri",2024-01-01 00:00:00,116
"Altinópolis",2024-01-01 00:00:00,158
"José Bonifácio",2024-01-01 00:00:00,160
"Pederneiras",2024-01-01 00:00:00,174
"Taquarituba",2024-01-01 00:00:00,174
"Barra Bonita",2024-01-01 00:00:00,132
"Piraju",2024-01-01 00:00:00,179
"Itupeva",2024-01-01 00:00:00,142
"Jaboticabal",2024-01-01 00:00:00,155
"Santa Isabel",2024-01-01 00:00:00,156
"Casa Branca",2024-01-01 00:00:00,135
"Tietê",2024-01-01 00:00:00,135
"Nhandeara",2024-01-01 00:00:00,99
"Vargem Grande do Sul",2024-01-01 00:00:00,224
"Porto Ferreira",2024-01-01 00:00:00,185
"Cândido Mota",2024-01-01 00:00:00,126
