"COMP","REGIAO","UF","CO_IBGE","MUNICIPIO","MOTIVO_DESABILITACAO","CNES","NOME_ESTABELECIMENTO","RAZAO_SOCIAL","TP_GESTAO","CO_TIPO_UNIDADE","DS_TIPO_UNIDADE","NATUREZA_JURIDICA","DESC_NATUREZA_JURIDICA","NO_LOGRADOURO","NU_ENDERECO","NO_COMPLEMENTO","NO_BAIRRO","CO_CEP","NU_TELEFONE","NO_EMAIL","LEITOS_EXISTENTES","LEITOS_SUS","UTI_TOTAL_EXIST","UTI_TOTAL_SUS","UTI_ADULTO_EXIST","UTI_ADULTO_SUS","UTI_PEDIATRICO_EXIST","UTI_PEDIATRICO_SUS","UTI_NEONATAL_EXIST","UTI_NEONATAL_SUS","UTI_QUEIMADO_EXIST","UTI_QUEIMADO_SUS","UTI_CORONARIANA_EXIST","UTI_CORONARIANA_SUS"
202512,"SUDESTE","SP",353440,"OSASCO","",8028,"HOSPITAL MUNICIPAL ANTONIO GIGLIO","PREFEITURA DO MUNICIPIO DE OSASCO","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","RUA PEDRO FIORETTI","48","","CENTRO",6013070,"(11)2183-9333","",225,201,28,20,20,12,8,8,0,0,0,0,0,0
202512,"SUDESTE","SP",353440,"OSASCO","",8036,"HOSPITAL MATERNIDADE AMADOR AGUIAR","PREFEITURA DO MUNICIPIO DE OSASCO","M",7,"HOSPITAL ESPECIALIZADO",1244,"HOSPITAL_PÚBLICO","AV GETULIO VARGAS","1260","","JD PIRATININGA",6233020,"(11)21833400","",183,175,18,18,0,0,0,0,18,18,0,0,0,0
202512,"SUDESTE","SP",353440,"OSASCO","",8052,"HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO","SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO","E",5,"HOSPITAL GERAL",1023,"HOSPITAL_PÚBLICO","RUA ARI BARROSO","355","","PRESIDENTE ALTINO",6216240,"(11) 3683-3077","hrofaturamentosame@gmail.com",250,250,48,48,40,40,8,8,0,0,0,0,0,0
202512,"SUDESTE","SP",353440,"OSASCO","",8087,"PRONTO SOCORRO CONRADO CESARINO NUVOLINI","PREFEITURA DO MUNICIPIO DE OSASCO","M",20,"PRONTO SOCORRO GERAL",1244,"HOSPITAL_PÚBLICO","AV JOAO DE ANDRADE","958","","JD STO ANTONIO",6132002,"(11)3609-0283","",22,22,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",353440,"OSASCO","",8141,"PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA","PREFEITURA DO MUNICIPIO DE OSASCO","M",20,"PRONTO SOCORRO GERAL",1244,"HOSPITAL_PÚBLICO","RUA AGUAS DA PRATA","S/N","","ROCHDALE",6223200,"(11)36866358","psrochdalle@gmail.com",12,12,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354780,"SANTO ANDRE","",8923,"CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO","PREFEITURA MUNICIPAL DE SANTO ANDRE","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","AVENIDA JOAO RAMALHO","326","","VILA ASSUNCAO",9030320,"(11) 4433-3600","",296,296,60,60,50,50,10,10,0,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",9164,"UPA SAO FRANCISCO XAVIER","PREFEITURA MUNICIPAL DE SAO JOSE DOS CAMPOS","M",15,"UNIDADE MISTA",1244,"HOSPITAL_PÚBLICO","RUA 15 DE NOVEMBRO","S/N","","CENTRO",12249000,"12 39261226","ubs_sfxavier@sjc.sp.gov.br",3,3,0,0,0,0,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",9539,"HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO","INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","AVENIDA HEITOR VILLA LOBOS","1961","","VILA RENATA",12245280,"12 3797-0822","diretoria@antoninhomarmo.org.br",72,5,20,0,10,0,0,0,10,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",9601,"HOSPITAL PIO XII","INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA","M",5,"HOSPITAL GERAL",3999,"HOSPITAL_FILANTRÓPICO","RUA PARAGUASSU","51","","SANTANA",12212110,"12 39283344","erika.zanni@hpioxii.org.br, diretoria@hpioxii.org.br",87,72,13,12,13,12,0,0,0,0,0,0,0,0
202512,"SUDESTE","SP",354990,"SAO JOSE DOS CAMPOS","",9628,"HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE","PREFEITURA MUNICIPAL DE SAO JOSE DOS CAMPOS","M",5,"HOSPITAL GERAL",1244,"HOSPITAL_PÚBLICO","RUA SAIGIRO NAKAMURA","800","","VILA INDUSTRIAL",12220280,"12 39013400","camaganha@uol.com.br",404,404,72,72,54,54,8,8,10,10,0,0,0,0
