"MUNICIPIO","POPULACAO","REGIAO_SAUDE"
"Aspásia",2700,"São José do Rio Preto"
"Dirce Reis",2800,"São José do Rio Preto"
"Lourdes",2900,"Araçatuba"
"Pontes Gestal",2900,"São José do Rio Preto"
"União Paulista",2900,"São José do Rio Preto"
"Ribeirão dos Índios",3100,"Presidente Prudente"
"Santa Salete",3100,"São José do Rio Preto"
"Brejo Alegre",3200,"Araçatuba"
"Emilianópolis",3200,"Presidente Prudente"
"Turmalina",3200,"São José do Rio Preto"
"Onda Verde",3200,"São José do Rio Preto"
"Pedranópolis",3200,"São José do Rio Preto"
"Dolcinópolis",3300,"São José do Rio Preto"
"Guarani d'Oeste",3400,"São José do Rio Preto"
"Vitória Brasil",3400,"São José do Rio Preto"
"Nantes",3600,"Presidente Prudente"
"Mesópolis",3600,"São José do Rio Preto"
"São Francisco",3600,"São José do Rio Preto"
"Mira Estrela",3700,"São José do Rio Preto"
"Bento de Abreu",3800,"Araçatuba"
"Arapeí",3800,"Vale do Paraíba"
"Lagoinha",3800,"São José dos Campos"
"Parisi",3800,"São José do Rio Preto"
"Alfredo Marcondes",4100,"Presidente Prudente"
"Floreal",4100,"São José do Rio Preto"
"Estrela do Norte",4200,"Presidente Prudente"
"Redenção da Serra",4200,"São José dos Campos"
"Nipoã",4200,"São José do Rio Preto"
"Areias",4300,"Vale do Paraíba"
"Santa Rita d'Oeste",4400,"São José do Rio Preto"
"São João das Duas Pontes",4400,"São José do Rio Preto"
"Magda",4500,"São José do Rio Preto"
"Sandovalina",4600,"Presidente Prudente"
"Altair",4600,"São José do Rio Preto"
"Gabriel Monteiro",4700,"Araçatuba"
"Rubinéia",4700,"São José do Rio Preto"
"Nova Independência",4800,"Araçatuba"
"Santa Clara d'Oeste",4800,"São José do Rio Preto"
"Álvares Florence",4900,"São José do Rio Preto"
"Sebastianópolis do Sul",5100,"São José do Rio Preto"
"Canas",5200,"Vale do Paraíba"
"Santa Mercedes",5200,"Presidente Prudente"
"Meridiano",5200,"São José do Rio Preto"
"Caiabu",5400,"Presidente Prudente"
"Anhumas",5400,"Presidente Prudente"
"Narandiba",5400,"Presidente Prudente"
"Monteiro Lobato",5400,"São José dos Campos"
"Nova Luzitânia",5400,"São José do Rio Preto"
"Mariápolis",5500,"Presidente Prudente"
"Alto Alegre",5600,"Araçatuba"
"Murutinga do Sul",5600,"Araçatuba"
"Marabá Paulista",5600,"Presidente Prudente"
"Piquerobi",5800,"Presidente Prudente"
"João Ramalho",5800,"Presidente Prudente"
